n;t
3;1.23e-06
4;9.6e-07
5;4.8e-07
6;4.1e-07
7;4.9e-07
8;4.2e-07
9;3.6e-07
10;3.7e-07
11;5.5e-07
12;3.9e-07
13;4.3e-07
14;4.1e-07
15;7.759e-06
16;4.5e-07
17;4.9e-07
18;4.7e-07
19;5.6e-07
20;5.6e-07
21;4.8e-07
22;5.4e-07
23;5.8e-07
24;5.3e-07
25;4.9e-07
26;5.2e-07
27;5.7e-07
28;6e-07
29;5.8e-07
30;5.4e-07
31;6.5e-07
32;5.5e-07
33;6.7e-07
34;6.2e-07
35;6.6e-07
36;5.9e-07
37;8.8e-07
38;6.5e-07
39;7.1e-07
40;6.4e-07
41;6.7e-07
42;7.4e-07
43;8.2e-07
44;6.8e-07
45;6.2e-07
46;7.5e-07
47;7.8e-07
48;6.6e-07
49;7e-07
50;7.9e-07
51;8.3e-07
52;7.3e-07
53;6.7e-07
54;8.2e-07
55;8.9e-07
56;6.9e-07
57;8e-07
58;7.5e-07
59;1.01e-06
60;7.3e-07
61;8.8e-07
62;8.9e-07
63;8.9e-07
64;7.5e-07
65;8.9e-07
66;9.3e-07
67;8.9e-07
68;9.9e-07
69;1.03e-06
70;9.3e-07
71;9.1e-07
72;9.2e-07
73;1.01e-06
74;8.2e-07
75;6.58e-06
76;1.17e-06
77;8.7e-07
78;9.3e-07
79;1.14e-06
80;1.04e-06
81;1.07e-06
82;1.07e-06
83;1.02e-06
84;1.12e-06
85;1.14e-06
86;9.5e-07
87;1.17e-06
88;1.05e-06
89;1.12e-06
90;1.14e-06
91;1.32e-06
92;9.5e-07
93;1.07e-06
94;1.1e-06
95;1.36e-06
96;1.15e-06
97;1.09e-06
98;1.26e-06
99;1.39e-06
100;1.16e-06
101;1.14e-06
102;1.15e-06
103;1.38e-06
104;1.21e-06
105;1.21e-06
106;1.2e-06
107;1.47e-06
108;1.25e-06
109;1.25e-06
110;1.24e-06
111;1.49e-06
112;1.36e-06
113;2.17e-06
114;1.33e-06
115;7.929e-06
116;1.16e-06
117;1.17e-06
118;1.25e-06
119;2.49e-06
120;2.6e-06
121;1.5e-06
122;1.74e-06
123;1.54e-06
124;1.23e-06
125;1.23e-06
126;1.17e-06
127;1.9e-06
128;1.39e-06
129;1.31e-06
130;1.22e-06
131;1.59e-06
132;1.239e-06
133;1.26e-06
134;1.37e-06
135;1.55e-06
136;1.29e-06
137;1.29e-06
138;1.34e-06
139;8.56e-06
140;1.33e-06
141;1.4e-06
142;1.42e-06
143;1.43e-06
144;1.3e-06
145;1.37e-06
146;1.4e-06
147;1.5e-06
148;1.33e-06
149;1.61e-06
150;1.65e-06
151;1.35e-06
152;1.28e-06
153;1.23e-06
154;1.3e-06
155;1.31e-06
156;1.31e-06
157;1.24e-06
158;1.32e-06
159;1.35e-06
160;1.28e-06
161;1.4e-06
